Article_Title,Date,Link
Warga Emas 60 Tahun & Ke Atas Digesa Ambil Suntikan Vaksin Influenza,2022-09-08,https://www.therakyatpost.com/trpbm/berita/2022/09/08/warga-emas-60-tahun-ke-atas-digesa-ambil-suntikan-vaksin-influenza/
Lelaki Ini Kongsi Prosedur Melancong Ke Thailand Dengan Mudah. Yang Penting Dah Vaksin!,2022-05-17,https://www.therakyatpost.com/trpbm/jalan-jalan/2022/05/17/lelaki-ini-kongsi-prosedur-melancong-ke-thailand-dengan-mudah-yang-penting-dah-vaksin/
15 Mei Sebagai Tarikh Akhir Pemberian Dos Vaksin Pertama Kepada Kanak-kanak,2022-04-14,https://www.therakyatpost.com/trpbm/berita/2022/04/14/15-mei-sebagai-tarikh-akhir-pemberian-dos-vaksin-pertama-kepada-kanak-kanak/
Kesatuan Eropah Iktiraf Sijil Vaksinasi Digital Melalui Aplikasi MySejahtera,2022-04-05,https://www.therakyatpost.com/trpbm/berita/2022/04/05/kesatuan-eropah-iktiraf-sijil-vaksinasi-digital-melalui-aplikasi-mysejahtera/
"Status Vaksin Sinovac Cuma Bertukar Tidak Lengkap, Bukan Dipadam – KKM",2022-03-29,https://www.therakyatpost.com/trpbm/viral/2022/03/29/status-vaksin-sinovac-cuma-bertukar-tidak-lengkap-bukan-dipadam-kkm/
2 Rakyat Malaysia Dihalau Masuk Jerman Gara-gara Terima Vaksin Sinovac,2022-03-23,https://www.therakyatpost.com/trpbm/viral/2022/03/23/2-rakyat-malaysia-dihalau-masuk-jerman-gara-gara-terima-vaksin-sinovac/
[Video] Wanita ‘Dakwa’ Ada HIV Dalam Vaksin Covid-19 Terima Kecaman Netizen,2022-02-28,https://www.therakyatpost.com/trpbm/viral/2022/02/28/video-wanita-dakwa-ada-hiv-dalam-vaksin-covid-19-terima-kecaman-netizen/
Jururawat Tepis Tuduhan Suntik Vaksin ‘Kosong’ Pada Anak Bongsu KJ,2022-02-16,https://www.therakyatpost.com/trpbm/viral/2022/02/16/jururawat-tepis-tuduhan-suntik-vaksin-kosong-pada-anak-bongsu-kj/
Warga Emas & Penerima Sinovac Dewasa Bertukar Status “Tidak Lengkap Vaksinasi” Jika Tak Ambil Dos Penggalak,2022-02-07,https://www.therakyatpost.com/trpbm/berita/2022/02/07/warga-emas-penerima-sinovac-dewasa-bertukar-status-tidak-vaksinasi-jika-tak-ambil-dos-penggalak/
Nak Tempah Slot Vaksinasi Anak Anda? Ikuti Langkah Mudah Ini,2022-02-03,https://www.therakyatpost.com/trpbm/berita/2022/02/03/nak-tempah-slot-vaksinasi-anak-anda-ikuti-langkah-mudah-ini/
